offer_id,offer_created_at,offer_valid_from,offer_valid_until,offer_state,offer_national_currency,offer_total_quantity_kg,transaction_type,seller_user_id,unit_price_nationalcurrency
102671,2020-03-25 09:33:27.930192+00:00,2020-03-25 10:00:00+00:00,2020-04-03 14:00:00+00:00,COMPLETED,EUR,2000,fixed_price_offer,19544,2.4
102678,2020-03-25 09:41:00.265232+00:00,2020-03-25 10:00:00+00:00,2020-04-03 14:00:00+00:00,COMPLETED,EUR,3440,fixed_price_offer,19544,3.520058139534884
102685,2020-03-25 09:47:17.602508+00:00,2020-03-25 10:00:00+00:00,2020-04-03 14:00:00+00:00,COMPLETED,EUR,3440,fixed_price_offer,19544,1.95
102692,2020-03-25 09:49:04.956593+00:00,2020-03-25 10:00:00+00:00,2020-04-03 14:00:00+00:00,COMPLETED,EUR,10080,fixed_price_offer,19544,2.1
102699,2020-03-25 09:50:47.548052+00:00,2020-03-25 10:00:00+00:00,2020-04-03 14:00:00+00:00,COMPLETED,EUR,9000,fixed_price_offer,19544,2.18
102766,2020-03-25 16:56:16.423884+00:00,2020-03-26 07:00:00+00:00,2020-03-30 14:00:00+00:00,COMPLETED,EUR,19800,fixed_price_offer,8764,3.05
102771,2020-03-25 18:03:45.912231+00:00,2020-03-25 18:06:00+00:00,2020-04-17 20:00:00+00:00,COMPLETED,EUR,46000,fixed_price_offer,10200,1.96
102778,2020-03-25 19:05:42.741991+00:00,2020-03-26 12:00:00+00:00,2020-12-18 22:00:00+00:00,COMPLETED,USD,16800,fixed_price_offer,17117,5.400030696428572
102888,2020-03-26 05:06:03.969652+00:00,2020-03-26 05:09:00+00:00,2020-03-31 01:00:00+00:00,COMPLETED,CNY,2150,fixed_price_offer,31078,37.999332558139535
10289,2019-08-23 15:14:20.180262+00:00,2019-08-27 11:00:00+00:00,2019-09-06 21:00:00+00:00,COMPLETED,USD,19200,fixed_price_offer,4271,3.0300234635416667
10296,2019-08-23 15:17:58.104160+00:00,2019-08-27 11:00:00+00:00,2019-09-06 21:00:00+00:00,COMPLETED,USD,11520,fixed_price_offer,4271,3.030004253472222
102978,2020-03-26 05:08:58.856833+00:00,2020-03-26 05:11:00+00:00,2020-03-31 01:00:00+00:00,COMPLETED,CNY,18000,fixed_price_offer,31078,11.800127083333333
10303,2019-08-23 15:24:36.357978+00:00,2019-08-27 11:00:00+00:00,2019-09-06 21:00:00+00:00,COMPLETED,USD,8640,fixed_price_offer,4271,3.090003703703704
103039,2020-03-26 05:13:33.666766+00:00,2020-03-26 05:16:00+00:00,2020-03-31 01:00:00+00:00,COMPLETED,CNY,17200,fixed_price_offer,31078,35.069810901162796
103108,2020-03-26 07:23:41.710968+00:00,2020-03-26 07:26:00+00:00,2020-03-31 01:00:00+00:00,COMPLETED,CNY,24300,fixed_price_offer,31078,11.799887345679013
10313,2019-08-26 09:18:20.339728+00:00,2019-08-26 09:30:00+00:00,2019-09-04 20:00:00+00:00,COMPLETED,EUR,132000,fixed_price_offer,2776,1.65
103157,2020-03-26 08:41:27.474215+00:00,2020-03-26 08:46:00+00:00,2020-03-31 01:00:00+00:00,COMPLETED,CNY,1720,fixed_price_offer,31078,38.00204215116279
10319,2019-08-26 09:19:51.351098+00:00,2019-08-26 09:30:00+00:00,2019-09-04 20:00:00+00:00,COMPLETED,EUR,22000,fixed_price_offer,2776,1.7
103201,2020-03-26 08:43:43.375900+00:00,2020-03-26 08:46:00+00:00,2020-03-31 01:00:00+00:00,COMPLETED,CNY,1800,fixed_price_offer,31078,39.00148055555555
10323,2019-08-26 09:30:26.612848+00:00,2019-08-26 10:55:00+00:00,2019-09-04 10:55:00+00:00,COMPLETED,INR,101250,fixed_price_offer,3845,135.00005604938272
103271,2020-03-26 13:47:48.971413+00:00,2020-03-26 14:00:00+00:00,2020-04-03 14:00:00+00:00,COMPLETED,EUR,3440,fixed_price_offer,19544,2.25
10329,2019-08-26 11:09:14.272585+00:00,2019-08-26 11:20:00+00:00,2019-09-04 20:00:00+00:00,COMPLETED,EUR,132000,fixed_price_offer,2776,1.65
